2,三十三の死,NDC 913,1998/8/11,2014/9/17,12,素木 しづ,現代日本文學全集　85　大正小説集,筑摩書房,小林徹,野口英司
4,日常生活の美学－モダニズムと『いき』,NDC 701,2000/1/20,2014/9/17,100,山本 ゆうじ,,,山本ゆうじ,
5,あいびき,NDC 983,1998/7/28,2015/2/1,5,ツルゲーネフ イワン,日本文学全集1　坪内逍遥・二葉亭四迷集,集英社,j.utiyama,八巻美恵
5,あいびき,NDC 983,1998/7/28,2015/2/1,6,二葉亭 四迷,日本文学全集1　坪内逍遥・二葉亭四迷集,集英社,j.utiyama,八巻美恵
6,エア,NDC 913,1999/5/8,2014/9/17,7,藤下 真潮,,,藤下真潮,
7,赤蛙,NDC 913,1998/8/26,2014/9/17,8,島木 健作,現代日本文學大系　70　武田麟太郎・島木健作・織田作之助・檀一雄集,筑摩書房,j.utiyama,かとうかおり
8,赤毛連盟,NDC K933,1999/4/10,2014/9/17,10,大久保 ゆう,,,大久保ゆう,
8,赤毛連盟,NDC K933,1999/4/10,2014/9/17,9,ドイル アーサー・コナン,,,大久保ゆう,
9,暁と夕の詩,NDC 911,1997/9/11,2014/9/17,11,立原 道造,立原道造全集　第1卷　詩集Ⅰ,角川書店,八巻美恵,
10,秋は淋しい,NDC 913,1999/9/5,2014/9/17,12,素木 しづ,素木しづ作品集　山田昭夫編,札幌・北書房,小林徹,湯地光弘
11,秋の瞳,NDC 911,1998/5/1,2014/9/17,13,八木 重吉,八木重吉全詩集1,ちくま文庫、筑摩書房,j.utiyama,富田倫生
12,悪魔の舌,NDC 913,1999/1/23,2014/9/17,14,村山 槐多,村山槐多全集,彌生書房,小林徹,山本奈津恵
13,十本の針,NDC 917,1999/5/15,2014/9/17,879,芥川 竜之介,或阿呆の一生・侏儒の言葉,角川文庫、角川書店,j.utiyama,菅野朋子
14,あばばばば,NDC 913,1999/1/16,2014/9/17,879,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房,j.utiyama,かとうかおり
15,アグニの神,NDC K913,1998/12/11,2014/9/17,879,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房,j.utiyama,かとうかおり
16,秋,NDC 913,1998/5/20,2014/9/17,879,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房,j.utiyama,野口英司
17,あの頃の自分の事,NDC 914,1998/6/22,2014/9/17,879,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房,j.utiyama,小浜真由美
18,闇中問答,NDC 913 914,1998/3/24,2014/9/17,879,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房,j.utiyama,野口英司
